subset_name,strategy,n_layers,layer_indices,layer_ids,ref_set,metric,k,auroc
single_l14,single,1,[0],[14],train,euclidean,1,0.7114570554629465
single_l14,single,1,[0],[14],train,euclidean,3,0.7341963779960834
single_l14,single,1,[0],[14],train,euclidean,5,0.7427202252828172
single_l14,single,1,[0],[14],train,euclidean,9,0.7502040816326531
single_l14,single,1,[0],[14],train,euclidean,15,0.7541086601174967
single_l14,single,1,[0],[14],train,euclidean,31,0.7571804042790788
single_l14,single,1,[0],[14],train,euclidean,63,0.7586680477107577
single_l14,single,1,[0],[14],train,euclidean,127,0.759458803346874
single_l14,single,1,[0],[14],train,cosine,1,0.710722458690058
single_l14,single,1,[0],[14],train,cosine,3,0.7358580006149962
single_l14,single,1,[0],[14],train,cosine,5,0.7439958568677273
single_l14,single,1,[0],[14],train,cosine,9,0.7510320607227825
single_l14,single,1,[0],[14],train,cosine,15,0.7545378627263752
single_l14,single,1,[0],[14],train,cosine,31,0.7573234718153716
single_l14,single,1,[0],[14],train,cosine,63,0.7587199987052712
single_l14,single,1,[0],[14],train,cosine,127,0.7594675427665117
single_l14,single,1,[0],[14],val,euclidean,1,0.7270766641311561
single_l14,single,1,[0],[14],val,euclidean,3,0.7465157228632927
single_l14,single,1,[0],[14],val,euclidean,5,0.7519574681577628
single_l14,single,1,[0],[14],val,euclidean,9,0.7553545129391963
single_l14,single,1,[0],[14],val,euclidean,15,0.7570952758581625
single_l14,single,1,[0],[14],val,euclidean,31,0.7583531049215879
single_l14,single,1,[0],[14],val,euclidean,63,0.7591215264852966
single_l14,single,1,[0],[14],val,euclidean,127,0.7595737105310008
single_l14,single,1,[0],[14],val,cosine,1,0.7264812507080548
single_l14,single,1,[0],[14],val,cosine,3,0.7475641295376201
single_l14,single,1,[0],[14],val,cosine,5,0.7524020456715597
single_l14,single,1,[0],[14],val,cosine,9,0.755437051902442
single_l14,single,1,[0],[14],val,cosine,15,0.7570546537409572
single_l14,single,1,[0],[14],val,cosine,31,0.7582802764246063
single_l14,single,1,[0],[14],val,cosine,63,0.7591050186926476
single_l14,single,1,[0],[14],val,cosine,127,0.759552994869637
single_l14,single,1,[0],[14],train_val,euclidean,1,0.7051141788991567
single_l14,single,1,[0],[14],train_val,euclidean,3,0.7303571833174188
single_l14,single,1,[0],[14],train_val,euclidean,5,0.7398381588955962
single_l14,single,1,[0],[14],train_val,euclidean,9,0.7482856171810516
single_l14,single,1,[0],[14],train_val,euclidean,15,0.7528051918626293
single_l14,single,1,[0],[14],train_val,euclidean,31,0.7563864118208743
single_l14,single,1,[0],[14],train_val,euclidean,63,0.7581957953681076
single_l14,single,1,[0],[14],train_val,euclidean,127,0.7592228390166533
single_l14,single,1,[0],[14],train_val,cosine,1,0.7042900839955331
single_l14,single,1,[0],[14],train_val,cosine,3,0.7322461926880188
single_l14,single,1,[0],[14],train_val,cosine,5,0.7413075142824774
single_l14,single,1,[0],[14],train_val,cosine,9,0.7491878813381023
single_l14,single,1,[0],[14],train_val,cosine,15,0.7532036446616712
single_l14,single,1,[0],[14],train_val,cosine,31,0.7564760717927138
single_l14,single,1,[0],[14],train_val,cosine,63,0.7582182912816197
single_l14,single,1,[0],[14],train_val,cosine,127,0.7592144232792246
single_l15,single,1,[1],[15],train,euclidean,1,0.7266676916603279
